Id,Label,Station Id,Latitude,Longitude,Capacity,PhysicalConfiguration,PostalCode,PostalCodeArea,Name
Spadina Rd / St.Clair Ave West,Spadina Rd / St.Clair Ave West,7640,43.683979,-79.410657,15,REGULAR,M4V,M4V,Spadina Rd / St.Clair Ave West
Queen St E / Rushbrooke Ave,Queen St E / Rushbrooke Ave,7258,43.6626628,-79.3323698,15,REGULAR,M4M 1L5,M4M,Queen St E / Rushbrooke Ave
Blake St / Boultbee Ave,Blake St / Boultbee Ave,7340,43.672453,-79.338259,15,REGULAR,NULL,NULL,Blake St / Boultbee Ave
Danforth Ave / Coxwell Ave,Danforth Ave / Coxwell Ave,7088,43.683378,-79.322961,15,REGULAR,NULL,NULL,Danforth Ave / Coxwell Ave
Oak St / Sumach St,Oak St / Sumach St,7577,43.6617908,-79.361515,27,REGULAR,M5A 2H4,M5A,Oak St / Sumach St
135 Queens Wharf  - SMART,135 Queens Wharf  - SMART,7639,43.6399714,-79.399404,16,SMARTMAPFRAME,M5V NULLE4,M5V,135 Queens Wharf  - SMART
20 Eaton,20 Eaton,7689,43.680012,-79.3440325,26,ELECTRICBIKESTATION,M4J 1N9,M4J,NULL
Danforth Ave / Ellerbeck St,Danforth Ave / Ellerbeck St,7095,43.677076,-79.35667,14,REGULAR,NULL,NULL,Danforth Ave / Ellerbeck St
Bathurst St / Dundas St W,Bathurst St / Dundas St W,7037,43.6519501,-79.4060978,27,REGULAR,M5T 2S3,M5T,Bathurst St / Dundas St W
Russell Hill Rd / St Clair Ave W,Russell Hill Rd / St Clair Ave W,7465,43.685569,-79.408019,19,REGULAR,M4V 1R8,M4V,Russell Hill Rd / St Clair Ave W
Eglinton Ave W / Gilbert Ave,Eglinton Ave W / Gilbert Ave,7743,43.6926325,-79.4627536,19,VAULT,M6E 2L6,M6E,NULL
Simcoe St / Wellington St W North,Simcoe St / Wellington St W North,7334,43.6462176,-79.3855048,15,REGULAR,NULL,NULL,Simcoe St / Wellington St North
Simcoe St / Michael Sweet Ave,Simcoe St / Michael Sweet Ave,7039,43.65232722,-79.38825382,19,REGULAR,M5T3M3,M5T,Simcoe St / Michael Sweet Ave
Nelson St / Duncan St,Nelson St / Duncan St,7102,43.648711,-79.389728,31,REGULAR,NULL,NULL,Nelson St / Duncan St
St Clair Ave W / Oakwood Ave,St Clair Ave W / Oakwood Ave,7699,43.678177,-79.435364,15,REGULAR,M6H 2M1,M6H,NULL
Front St W / University Ave (1),Front St W / University Ave (1),7320,43.6451635,-79.3831757,18,REGULAR,NULL,NULL,Front St W / University Ave (1)
University Ave / Gerrard St W (East Side),University Ave / Gerrard St W (East Side),7047,43.657763,-79.389165,25,REGULAR,NULL,NULL,University Ave / Gerrard St W (East Side)
Dundas St E / Parliament St,Dundas St E / Parliament St,7065,43.659575,-79.365769,15,REGULAR,NULL,NULL,Dundas St E / Parliament St
Amelia St. / Sumach St.,Amelia St. / Sumach St.,7312,43.66852,-79.363525,11,REGULAR,NULL,NULL,Amelia St. / Sumach St.
University Ave / Elm St,University Ave / Elm St,7004,43.656518,-79.389099,11,REGULAR,NULL,NULL,University Ave / Elm St
Riverdale Park South (Broadview Ave),Riverdale Park South (Broadview Ave),7098,43.667819,-79.35347,15,REGULAR,NULL,NULL,Riverdale Park South (Broadview Ave)
Wellington St W / Bay St,Wellington St W / Bay St,7052,43.647259,-79.379878,27,REGULAR,NULL,NULL,Wellington St W / Bay St
Danforth Ave / Dewhurst Blvd,Danforth Ave / Dewhurst Blvd,7655,43.680207,-79.339243,15,REGULAR,M4J 1L9,M4J,Danforth Ave / Dewhurst Blvd
King St W / Fraser Ave,King St W / Fraser Ave,7147,43.6394444,-79.42527778,15,REGULAR,NULL,NULL,King St W / Fraser Ave
Mill St / Parliament St,Mill St / Parliament St,7299,43.650256,-79.36163,15,REGULAR,NULL,NULL,Mill St / Parliament St
Sherbourne St N / Elm Ave,Sherbourne St N / Elm Ave,7530,43.6752732,-79.3778458,22,REGULAR,M4W 2T4,M4W,Sherbourne St N / Elm Ave
640 Bloor Street E,640 Bloor Street E,7117,43.67468857,-79.36701962,19,REGULAR,M4W 1J3,M4W,640 Bloor Street E
Spadina Ave / Blue Jays Way,Spadina Ave / Blue Jays Way,7416,43.641705,-79.393295,31,REGULAR,M5V NULLL7,M5V,Spadina Ave / Blue Jays Way
Gerrard St E / Leslie St,Gerrard St E / Leslie St,7431,43.669813,-79.3335,23,REGULAR,M4M 2A1,M4M,Gerrard St E / Leslie St
Jarvis St / Dundas St E,Jarvis St / Dundas St E,7121,43.657266,-79.374756,27,REGULAR,NULL,NULL,Jarvis St / Dundas St E
800 Fleet Street,800 Fleet Street,7730,43.636804,-79.408832,42,ELECTRICBIKESTATION,M5V 1A9,M5V,NULL
Via Italia / Mackay Ave,Via Italia / Mackay Ave,7434,43.676697,-79.445029,15,REGULAR,M6H 3S2,M6H,Via Italia / Mackay Ave
Alma Ave / Gladstone Ave SMART,Alma Ave / Gladstone Ave SMART,7367,43.6448617,-79.42822,16,SMARTMAPFRAME,NULL,NULL,Alma Ave / Gladstone Ave SMART
Queen St E / Sackville St,Queen St E / Sackville St,7105,43.6561111,-79.36138889,15,REGULAR,NULL,NULL,Queen St E / Sackville St
Ontario St / Adelaide St E -SMART,Ontario St / Adelaide St E -SMART,7505,43.6535052,-79.3667689,18,SMARTMAPFRAME,M5A 2V1,M5A,Ontario St / Adelaide St E -SMART
Sunnybrook Park,Sunnybrook Park,7609,43.720233,-79.362092,27,REGULAR,M3C 3L7,M3C,Sunnybrook Park
Lower Spadina Ave / Lake Shore Blvd,Lower Spadina Ave / Lake Shore Blvd,7259,43.638497,-79.39192,19,REGULAR,NULL,NULL,Lower Spadina Ave / Lake Shore Blvd
College St / Crawford St,College St / Crawford St,7204,43.655,-79.418889,19,REGULAR,NULL,NULL,College St / Crawford St
Symington Ave / Davenport Rd,Symington Ave / Davenport Rd,7529,43.6704403,-79.4532855,15,REGULAR,M6N 1B9,M6N,Symington Ave / Davenport Rd
Queens Quay W / Dan Leckie Way,Queens Quay W / Dan Leckie Way,7075,43.636533,-79.395854,27,REGULAR,NULL,NULL,Queens Quay W / Dan Leckie Way
University Ave / King St W - SMART,University Ave / King St W - SMART,7284,43.6477785,-79.3847928,24,SMARTMAPFRAME,M5H 1J9,M5H,University Ave / King St W - SMART
Pretoria Av / Broadview Av,Pretoria Av / Broadview Av,7351,43.6783213,-79.35822,19,REGULAR,NULL,NULL,Pretoria Av / Broadview Av
909 Yonge St,909 Yonge St,7648,43.67515256,-79.38849616,14,REGULAR,M4W,M4W,909 Yonge St
Queen St W / Gladstone Ave,Queen St W / Gladstone Ave,7193,43.64305556,-79.4275,23,REGULAR,NULL,NULL,Queen St W / Gladstone Ave
Phoebe St / Spadina Ave,Phoebe St / Spadina Ave,7020,43.650033,-79.396555,33,REGULAR,NULL,NULL,Phoebe St / Spadina Ave
Bremner Blvd / Rees St,Bremner Blvd / Rees St,7018,43.641529,-79.386741,23,REGULAR,NULL,NULL,Bremner Blvd / Rees St
Logan Av / Gerrard St E,Logan Av / Gerrard St E,7346,43.6672144,-79.3452697,15,REGULAR,NULL,NULL,Logan Av / Gerrard St E
Gould St / Mutual St,Gould St / Mutual St,7028,43.6582,-79.3768,31,REGULAR,NULL,NULL,Gould St / Mutual St
Long Branch GO Station,Long Branch GO Station,7621,43.591561,-79.545827,33,REGULAR,M8W 1R3,M8W,Long Branch GO Station
Merton St / Mount Pleasant Rd,Merton St / Mount Pleasant Rd,7424,43.697819,-79.38786,23,REGULAR,M4S 1A7,M4S,Merton St / Mount Pleasant Rd
1926 Lake Shore Blvd W,1926 Lake Shore Blvd W,7752,43.6357643,-79.4674917,22,VAULT,M6S 1A1,M6S,NULL
Felstead Ave/Gillard Ave (Monarch Park),Felstead Ave/Gillard Ave (Monarch Park),7706,43.6791345,-79.3263159,27,REGULAR,M4J 1G4,M4J,NULL
Yonge St / Yorkville Ave,Yonge St / Yorkville Ave,7126,43.671944,-79.387778,17,REGULAR,NULL,NULL,Yonge St / Yorkville Ave
1 Market St - SMART,1 Market St - SMART,7657,43.6469928,-79.3706665,19,ELECTRICBIKESTATION,M5E 1N1,M5E,1 Market St - SMART
